cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica,n_licitacoes,valor_homologado_total,n_dispensa,valor_hom_dispensa,ano_ultima_licitacao,pct_dispensa,alerta_dispensa
2513505,Santana de Mangueira,5090,75.5,🟡 Risco Médio,6,90.8735,0.206289,4.09,0,1.0,1.0,0.0237286269086988,1.0,0.7701,1.0,0.3592,15.0,26.9535,15.0,0.0,3.592,15.0,0.0,0.0,75.5455,75.5455,53.0,1.0,False,False,False,False,True,10.0,2224747.2199999997,0.0,0.0,2026.0,0.0,False
2507101,Itapororoca,19165,75.4,🟡 Risco Médio,6,95.427,0.05014,0.4,0,1.0,0.1,0.0263405423717306,1.0,0.4753,1.0,0.4755,15.0,16.6355,15.0,9.0,4.755,15.0,0.0,0.0,75.3905,75.3905,53.0,1.0,False,False,False,False,True,1.0,190075.0,0.0,0.0,2025.0,0.0,False
2504009,Campina Grande,443911,75.0,🟡 Risco Médio,6,95.3005,-0.029935,0.06,0,1.0,0.15,0.1608038654498474,1.0,0.329,1.0,1.0,15.0,11.515,15.0,8.5,10.0,15.0,0.0,0.0,75.015,75.015,53.0,1.0,False,False,False,False,False,1122.0,470529819.75,852.0,121600506.57,2027.0,0.2584,False
2502805,Brejo do Cruz,14095,74.5,🟡 Risco Médio,6,108.6395,0.364515,0.1,3,1.0,1.0,0.0371827447292285,0.8787,1.0,0.3,0.6784,13.1805,35.0,15.0,0.0,6.784,4.5,0.0,0.0,74.4645,74.4645,53.0,1.0,False,False,False,False,True,96.0,10530971.75,43.0,3705111.2800000003,2026.0,0.3518,True
2513604,Santana dos Garrotes,6618,74.3,🟡 Risco Médio,6,98.8955,0.045928,0.54,0,1.0,0.0,0.0213215467021916,1.0,0.4648,1.0,0.3066,15.0,16.268,15.0,10.0,3.066,15.0,0.0,0.0,74.334,74.334,53.0,1.0,False,False,False,False,True,41.0,23770830.93,4.0,17019708.16,2026.0,0.716,True
2508554,Logradouro,5107,74.3,🟡 Risco Médio,6,88.4825,0.119993,0.02,1,1.0,0.05,0.0190745596053469,0.9241,0.632,0.75,0.2616,13.8615,22.12,15.0,9.5,2.616,11.25,0.0,0.0,74.3475,74.3475,53.0,1.0,False,False,False,False,True,9.0,220000.0,0.0,0.0,2025.0,0.0,False
2512903,Rio Tinto,25500,74.2,🟡 Risco Médio,6,96.5565,0.035517,0.04,1,1.0,0.05,0.0460885750649524,1.0,0.4388,0.75,0.8085,15.0,15.358,15.0,9.5,8.085,11.25,0.0,0.0,74.19300000000001,74.19300000000001,53.0,1.0,False,False,False,False,True,139.0,25817604.25,80.0,18463512.79,2026.0,0.7152,True
2503753,Cajazeirinhas,2760,73.9,🟡 Risco Médio,6,87.61,0.130821,0.03,1,1.0,0.1,0.0198384409286465,0.8805,0.6493,0.75,0.2764,13.2075,22.7255,15.0,9.0,2.764,11.25,0.0,0.0,73.947,73.947,53.0,1.0,False,False,False,False,True,21.0,2966753.53,0.0,0.0,2026.0,0.0,False
2504702,Congo,5124,73.9,🟡 Risco Médio,4,116.48,0.19884,0.02,0,0.6666666666666666,0.0,0.021683939141904,0.6173,0.7581,1.0,0.3142,9.2595,26.5335,10.0,10.0,3.142,15.0,0.0,0.0,73.935,73.935,53.0,1.0,False,False,False,False,True,36.0,194517.9,10.0,194517.9,2026.0,1.0,True
2504801,Coremas,14987,73.4,🟡 Risco Médio,6,83.827,0.061125,0.15,0,1.0,0.25,0.0450661081442343,0.6913,0.5028,1.0,0.7959,10.3695,17.598,15.0,7.5,7.959,15.0,0.0,0.0,73.4265,73.4265,53.0,1.0,False,False,False,False,True,17.0,615861.03,7.0,465203.03,2025.0,0.7554,True
