cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica
2504850,Coxixola,1888,62.9,🔴 Risco Alto,2,100.66,0.27715,,0,0.3333333333333333,1.0,0.0206718262408778,1.0,1.0,1.0,0.2931,20.0,30.0,5.0,0.0,2.931,5.0,0.0,0.0,62.931,62.931,33.0,1.0,False,False,False,False,True
2506202,Frei Martinho,2911,62.7,🔴 Risco Alto,2,101.0523,0.241951,0.1,0,0.3333333333333333,1.0,0.0195781930412541,1.0,1.0,1.0,0.2713,20.0,30.0,5.0,0.0,2.713,5.0,0.0,0.0,62.713,62.713,33.0,1.0,False,False,False,False,True
2501005,Araruna,17360,54.5,🔴 Risco Alto,6,106.8995,0.006756,1.93,6,1.0,1.0,0.0291056571813713,0.9367,0.5169,0.0,0.5293,18.734,15.507,15.0,0.0,5.293,0.0,0.0,0.0,54.534,54.534,33.0,1.0,False,False,False,False,True
2505709,Dona Inês,10638,54.1,🔴 Risco Alto,6,84.2355,-0.061501,0.25,0,1.0,1.0,0.047847562285168,0.7118,0.3846,1.0,0.8288,14.236,11.538,15.0,0.0,8.288,5.0,0.0,0.0,54.062,54.062,33.0,1.0,False,False,False,False,True
2514909,São Mamede,7629,54.0,🔴 Risco Alto,6,73.9305,0.115666,0.72,0,1.0,1.0,0.0356222530589777,0.1965,0.7892,1.0,0.6442,3.93,23.676,15.0,0.0,6.442,5.0,0.0,0.0,54.047999999999995,54.047999999999995,33.0,1.0,False,False,False,False,True
2508000,Juru,9380,53.4,🔴 Risco Alto,5,91.7168,-0.064875,0.09,0,0.8333333333333334,1.0,0.0276107333750664,1.0,0.3787,1.0,0.4511,20.0,11.361,12.5,0.0,4.511,5.0,0.0,0.0,53.37200000000001,53.37200000000001,33.0,1.0,False,False,False,False,True
2503803,Caldas Brandão,5942,52.5,🔴 Risco Alto,6,81.719,0.07994,0.05,2,1.0,1.0,0.0170876679247527,0.5859,0.6998,0.5,0.2255,11.718,20.994,15.0,0.0,2.255,2.5,0.0,0.0,52.467000000000006,52.467000000000006,33.0,1.0,False,False,False,False,True
2503407,Cacimba de Areia,3344,52.2,🔴 Risco Alto,6,86.055,0.012724,0.05,2,1.0,1.0,0.019425489111001,0.8028,0.5318,0.5,0.2683,16.056,15.954,15.0,0.0,2.683,2.5,0.0,0.0,52.193000000000005,52.193000000000005,33.0,1.0,False,False,False,False,True
2510402,Olho d'Água,6059,52.1,🔴 Risco Alto,6,89.794,-0.009007,0.76,5,1.0,1.0,0.0201306649188912,0.9897,0.4821,0.0,0.2822,19.794,14.463,15.0,0.0,2.822,0.0,0.0,0.0,52.079,52.079,33.0,1.0,False,False,False,False,True
2503308,Cachoeira dos Índios,9335,51.9,🔴 Risco Alto,6,67.505,0.097396,0.74,0,1.0,1.0,0.0629534032644953,0.0,0.7435,1.0,0.964,0.0,22.305,15.0,0.0,9.64,5.0,0.0,0.0,51.945,51.945,33.0,1.0,False,False,False,False,True
2510006,Nazarezinho,7394,51.7,🔴 Risco Alto,6,76.928,0.148329,0.01,6,1.0,1.0,0.0241114379854217,0.3464,0.8708,0.0,0.3679,6.928,26.124,15.0,0.0,3.679,0.0,0.0,0.0,51.731,51.731,33.0,1.0,False,False,False,False,True
